pdes,full_name,neo,pha,H,diameter,albedo,e,a,q,i,om,w,moid,class
433,   433 Eros (A898 PA),Y,N,10.40,16.84,0.25,0.2229,1.458,1.133,10.83,304.27,178.92,0.149,AMO
719,   719 Albert (A911 TB),Y,N,15.59,,,0.5466,2.637,1.196,11.57,183.86,156.18,0.202,AMO
887,   887 Alinda (A918 AA),Y,N,13.82,4.2,0.31,0.5711,2.474,1.061,9.40,110.41,350.55,0.0801,AMO
1036,  1036 Ganymed (A924 UB),Y,N,9.17,37.675,0.238,0.5335,2.664,1.243,26.69,215.40,132.51,0.342,AMO
1221,  1221 Amor (1932 EA1),Y,N,17.37,1.0,,0.4347,1.92,1.085,11.87,171.24,26.75,0.109,AMO
1566,  1566 Icarus (1949 MA),Y,Y,16.53,1.0,0.51,0.8270,1.078,0.186,22.80,87.95,31.44,0.0338,APO
1580,  1580 Betulia (1950 KA),Y,N,14.54,5.8,0.08,0.4876,2.195,1.125,52.19,62.22,159.71,0.134,AMO
1620,  1620 Geographos (1951 RA),Y,Y,15.27,2.56,0.290,0.3355,1.246,0.828,13.34,337.13,277.03,0.0295,APO
1627,  1627 Ivar (1929 SH),Y,N,12.79,9.12,0.15,0.3973,1.863,1.123,8.46,133.07,167.83,0.11,AMO
1685,  1685 Toro (1948 OA),Y,N,14.26,3.4,0.31,0.4360,1.368,0.771,9.38,274.21,127.27,0.0509,APO
1862,  1862 Apollo (1932 HA),Y,Y,16.09,1.5,0.25,0.5602,1.471,0.647,6.35,35.50,286.10,0.0263,APO
1863,  1863 Antinous (1948 EA),Y,N,15.32,2.1,0.24,0.6062,2.259,0.890,18.38,345.54,269.11,0.188,APO
1864,  1864 Daedalus (1971 FA),Y,N,14.83,3.7,0.273,0.6145,1.461,0.563,22.22,6.60,325.66,0.269,APO
1865,  1865 Cerberus (1971 UA),Y,N,16.77,1.2,0.22,0.4669,1.08,0.576,16.10,212.88,325.30,0.156,APO
1866,  1866 Sisyphus (1972 XA),Y,N,12.47,8.48,0.15,0.5381,1.893,0.875,41.21,63.45,293.09,0.103,APO
1915,  1915 Quetzalcoatl (1953 EA),Y,N,18.38,0.5,0.21,0.5703,2.545,1.094,20.40,162.92,347.77,0.11,AMO
1916,  1916 Boreas (1953 RA),Y,N,14.93,3.5,,0.4491,2.273,1.252,12.88,340.58,335.90,0.253,AMO
1917,  1917 Cuyo (1968 AA),Y,N,14.38,5.7,0.195,0.5054,2.149,1.063,23.96,188.27,194.55,0.0718,AMO
1943,  1943 Anteros (1973 EC),Y,N,15.66,2.3,0.17,0.2562,1.431,1.064,8.71,246.27,338.49,0.0626,AMO
1980,  1980 Tezcatlipoca (1950 LA),Y,N,13.80,4.3,0.25,0.3647,1.71,1.086,26.87,246.54,115.46,0.245,AMO
1981,  1981 Midas (1973 EA),Y,Y,15.28,3.4,,0.6504,1.776,0.621,39.82,356.79,267.85,0.00385,APO
2059,  2059 Baboquivari (1963 UA),Y,N,15.98,,,0.5314,2.642,1.238,11.02,200.69,192.45,0.245,AMO
